Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	11:43 3/1/2020	120
Jim	11:43 3/1/2020	104
TomH	11:47 3/5/2020	145
Lana	11:47 3/5/2020	110
Jim	11:47 3/5/2020	113
Mike	23:8 3/5/2020	179
Jim	23:8 3/5/2020	184
Mike	10:46 3/1/2020	106
Mike	11:16 3/1/2020	145
Jim	11:16 3/1/2020	128
Mike	14:30 3/2/2020	129
Mike	15:42 3/3/2020	9
Mike	15:44 3/3/2020	8
Mike	15:46 3/3/2020	133
Mike	15:48 3/3/2020	110
Mike	15:51 3/3/2020	141
Mike	18:47 3/3/2020	203
Tom	18:47 3/3/2020	138
Lana	18:47 3/3/2020	125
Jim	18:54 3/3/2020	153
Mike	18:54 3/3/2020	108
Tom	18:54 3/3/2020	139
Mike	18:55 3/3/2020	129
Jim	18:55 3/3/2020	120
Lana	18:55 3/3/2020	141
Mike	19:36 3/3/2020	122
Jim	19:36 3/3/2020	151
Tom	19:36 3/3/2020	121
Mike	20:7 3/3/2020	139
Mike	20:16 3/3/2020	161
Mike	20:22 3/3/2020	120
Mike	20:25 3/3/2020	136
Mike	20:26 3/3/2020	111
Mike	20:28 3/3/2020	97
Mike	20:33 3/3/2020	209
Mike	20:33 3/3/2020	158
Mike	20:33 3/3/2020	132
Mike	20:33 3/3/2020	132
Mike	20:33 3/3/2020	125
Mike	20:35 3/3/2020	127
Mike	20:35 3/3/2020	108
Mike	20:35 3/3/2020	109
Mike	20:35 3/3/2020	130
Mike	20:35 3/3/2020	152
Mike	20:35 3/3/2020	118
Mike	20:35 3/3/2020	94
Mike	20:35 3/3/2020	141
Mike	20:35 3/3/2020	109
Mike	20:35 3/3/2020	111
Mike	20:35 3/3/2020	149
Mike	20:37 3/3/2020	190
Mike	20:37 3/3/2020	125
Mike	20:37 3/3/2020	144
Mike	20:37 3/3/2020	150
Mike	20:37 3/3/2020	108
Mike	20:37 3/3/2020	130
Mike	20:37 3/3/2020	138
Mike	20:37 3/3/2020	129
Mike	20:37 3/3/2020	113
Mike	20:38 3/3/2020	146
Mike	20:38 3/3/2020	132
Mike	20:38 3/3/2020	129
Mike	20:38 3/3/2020	150
Mike	20:38 3/3/2020	153
Mike	20:38 3/3/2020	117
Mike	20:38 3/3/2020	112
Mike	20:38 3/3/2020	155
Mike	20:38 3/3/2020	139
Mike	20:38 3/3/2020	154
Mike	20:38 3/3/2020	141
Mike	20:39 3/3/2020	92
Mike	20:39 3/3/2020	126
Mike	20:39 3/3/2020	137
Mike	20:39 3/3/2020	192
Mike	20:39 3/3/2020	145
Mike	20:39 3/3/2020	171
Mike	20:39 3/3/2020	140
Mike	20:39 3/3/2020	151
Mike	20:39 3/3/2020	152
Mike	20:39 3/3/2020	162
Mike	20:39 3/3/2020	146
Mike	20:39 3/3/2020	126
Mike	20:39 3/3/2020	151
Mike	20:39 3/3/2020	177
Mike	20:41 3/3/2020	146
Mike	20:47 3/3/2020	114
Jim	20:47 3/3/2020	191
Tom	20:47 3/3/2020	132
Mike	20:49 3/3/2020	162
